,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[103],-0.267,0.246,-0.677,0.124,0.002,0.002,18251.0,5692.0,1.0
mu[104],-0.169,0.345,-0.737,0.396,0.002,0.004,19121.0,5014.0,1.0
mu[105],-0.072,0.208,-0.399,0.285,0.002,0.003,16022.0,5190.0,1.0
mu[106],-0.166,0.186,-0.465,0.139,0.001,0.002,15930.0,5531.0,1.0
mu[107],-0.197,0.253,-0.612,0.219,0.002,0.003,16601.0,4725.0,1.0
mu[108],-0.117,0.37,-0.724,0.494,0.003,0.004,16508.0,5964.0,1.0
mu[109],-0.359,0.366,-0.929,0.268,0.003,0.003,18279.0,5514.0,1.0
mu[110],-0.175,0.148,-0.415,0.066,0.001,0.001,17890.0,6104.0,1.0
mu[111],-0.149,0.274,-0.597,0.31,0.002,0.003,17379.0,5991.0,1.0
mu[112],-0.264,0.289,-0.75,0.192,0.002,0.003,17703.0,4841.0,1.0
mu[113],-0.282,0.317,-0.807,0.236,0.002,0.003,19778.0,5889.0,1.0
mu[114],-0.466,0.399,-1.141,0.179,0.003,0.003,17208.0,5505.0,1.0
mu[115],0.096,0.265,-0.32,0.548,0.002,0.003,16201.0,5496.0,1.0
mu[116],-0.199,0.258,-0.633,0.215,0.002,0.003,16549.0,5255.0,1.0
mu[117],-0.295,0.321,-0.834,0.218,0.003,0.003,15772.0,6223.0,1.0
mu[118],-0.113,0.438,-0.836,0.605,0.003,0.005,19470.0,6224.0,1.0
mu[119],-0.096,0.425,-0.806,0.59,0.003,0.005,19064.0,5584.0,1.0
mu[120],-0.424,0.395,-1.064,0.224,0.003,0.003,19262.0,5300.0,1.0
mu[121],0.118,0.364,-0.476,0.725,0.003,0.005,16062.0,5590.0,1.0
mu[122],-0.11,0.47,-0.883,0.657,0.004,0.006,16397.0,5713.0,1.0
mu[123],-0.07,0.248,-0.466,0.352,0.002,0.003,19530.0,5682.0,1.0
mu[124],-0.273,0.35,-0.85,0.295,0.003,0.003,17853.0,5760.0,1.0
mu[125],-0.074,0.452,-0.823,0.657,0.003,0.006,17226.0,5683.0,1.0
mu[126],-0.228,0.299,-0.714,0.262,0.002,0.003,20499.0,5712.0,1.0
mu[127],-0.261,0.255,-0.678,0.156,0.002,0.002,19214.0,6041.0,1.0
mu[128],-0.025,0.335,-0.586,0.519,0.003,0.004,14988.0,5804.0,1.0
mu[129],-0.088,0.179,-0.374,0.208,0.001,0.002,18252.0,5668.0,1.0
mu[130],0.054,0.293,-0.443,0.518,0.002,0.004,15222.0,5375.0,1.0
mu[131],-0.098,0.349,-0.656,0.493,0.003,0.004,17448.0,5462.0,1.0
mu[132],-0.091,0.224,-0.465,0.271,0.002,0.002,16148.0,6434.0,1.0
mu[133],-0.245,0.462,-1.003,0.504,0.003,0.005,18735.0,5895.0,1.0
mu[134],-0.135,0.487,-0.921,0.666,0.004,0.006,18064.0,5156.0,1.0
mu[135],-0.486,0.431,-1.197,0.213,0.003,0.003,20290.0,6088.0,1.0
mu[136],-0.115,0.306,-0.643,0.362,0.002,0.003,19470.0,6028.0,1.0
mu[137],0.062,0.297,-0.438,0.529,0.002,0.004,17565.0,5812.0,1.0
mu[138],0.15,0.337,-0.391,0.703,0.003,0.004,16916.0,5597.0,1.0
mu[139],-0.265,0.304,-0.757,0.242,0.002,0.003,15406.0,5215.0,1.0
mu[140],-0.365,0.422,-1.086,0.306,0.003,0.004,21727.0,5927.0,1.0
mu[141],-0.284,0.255,-0.711,0.116,0.002,0.002,19537.0,5947.0,1.0
mu[142],-0.127,0.439,-0.826,0.619,0.003,0.006,20285.0,5735.0,1.0
mu[143],-0.088,0.337,-0.625,0.467,0.003,0.004,17750.0,5544.0,1.0
mu[144],-0.084,0.342,-0.689,0.43,0.003,0.005,16333.0,5649.0,1.0
mu[145],0.147,0.369,-0.44,0.765,0.003,0.004,18653.0,5925.0,1.0
mu[146],-0.042,0.165,-0.315,0.233,0.001,0.002,19661.0,5280.0,1.0
mu[147],-0.487,0.423,-1.228,0.173,0.003,0.004,19938.0,5227.0,1.0
mu[148],-0.121,0.506,-0.927,0.729,0.004,0.007,19162.0,4456.0,1.0
mu[149],-0.132,0.37,-0.742,0.466,0.003,0.004,16530.0,5642.0,1.0
mu[150],-0.032,0.363,-0.603,0.591,0.003,0.005,19832.0,5659.0,1.0
